title,MuDeP Arc Accuracy,MuDeP Span Accuracy,MuDeP Fscore (no postp),MuDeP Fscore,MuDeP Head Accuracy (no postp),MuDeP Head Accuracy,MuDeP Node Accuracy,len
"65_25 Etudes faciles et progressives, conposees et doigtees expressement pour l'etendue des petites mains Op.100-20 Tarentelle",0.611111104,0.666666687,0.32432431,0.550000012,0.567567587,0.594594598,0.671232879,42
66_The Nutcracker Suite Op.71a No.2 March,0.633333325,0.466666669,0.466666669,0.463414639,0.612903237,0.612903237,0.672131121,50
67_Ballade g moll Op.23,0.333333343,0.5,0.309734523,0.326923072,0.387755096,0.346938789,0.453608245,54
68_12 Etudes E dur Op.10-3,0.289473683,0.684210539,0.410596013,0.275000006,0.410256416,0.282051295,0.363636374,40
69_Kanon und Gigue D dur for drei Violinen und Basso Continuo Kanon,0.3125,0.428571433,0.20543094,0.311688304,0.300884962,0.318584085,0.382222235,117
"70_Herz und Mund und Tat und Leben BWV147-6 Wohl mir, das ich Jesum habe",0.209677413,0.241935477,0.213270143,0.203125,0.190476209,0.206349209,0.319999993,64
71_Messiah HWV.56 23.Hallelujah,0.51219511,0.658536613,0.397350997,0.463157892,0.523809552,0.523809552,0.566265047,52
72_Preludes 1 La fille aux cheveux de lin,0.344827592,0.344827592,0.352941185,0.317460328,0.266666681,0.333333343,0.406779647,32
73_Pavane pour une infante defunte,0.400000006,0.300000012,0.308823526,0.352941185,0.322580636,0.387096763,0.426229507,36
74_8 Humoresky Op.101-7 B.187 Ges dur,0.53191489,0.361702114,0.394088656,0.433333337,0.541666687,0.541666687,0.589473665,71
75_Sicilienne Op.78,0.303030312,0.151515156,0.428571433,0.314285725,0.323529422,0.323529422,0.477611929,35
76_Salut d'amour Op.12,0.363636374,0.818181813,0.482758611,0.367346942,0.391304344,0.391304344,0.422222227,25
77_Violinkonzert e moll Op.64 1.Satz,0.307692319,0.538461566,0.388349503,0.305084735,0.333333343,0.333333343,0.433962256,31
78_Concerti a 4 e 5 Il cimento dell'armonia e dell'inventione Op.8 Le quattro stagioni Concerti Nr.1E dur RV.269 La Primavera,0.446808517,0.510638297,0.390909106,0.423076928,0.458333343,0.458333343,0.526315808,55
79_Eine kleine Nachtmusik G dur K.525 1.Satz,0.305084735,0.61016947,0.25790754,0.294573635,0.366666675,0.316666663,0.319327742,68
80_Symphonie Nr.40 g moll KV.550 1.Satz,0.538461566,0.666666687,0.407407403,0.477272719,0.525000036,0.524999976,0.556962013,47
81_Symphony No.9 in E minor Op.95 B.178 From the New World Mov.2 Goin' Home,0.674418628,0.790697694,0.472972959,0.651685417,0.659090936,0.659090936,0.712643683,44
82_An der schonen blauen Donau Op.314,0.4375,0.375,0.40625,0.333333343,0.411764711,0.411764711,0.666666687,24
83_Radetzky-Marsch Op.228,0.51219511,0.317073166,0.415730327,0.411214948,0.523809552,0.523809552,0.530120492,64
84_Toccata und Fuge d moll BWV565,0.333333343,0.5,0.270676702,0.296296299,0.359999985,0.319999993,0.428571433,28
85_Tableaux d'une exposition Promenade,0.396226406,0.471698105,0.282051295,0.403669715,0.388888896,0.407407403,0.457943916,54
86_Pomp and Circumstance Op.39 No.1,0.5,0.600000024,0.611111104,0.434782594,0.363636374,0.454545468,0.714285731,11
87_Impromptu cis moll Op.66,0.172131151,0.229508191,0.106983654,0.167330682,0.227642268,0.170731708,0.293877542,127
88_Scherzo b moll Op.31,0.666666687,0.333333343,0.625,0.666666687,0.699999988,0.699999988,0.578947365,10
89_12 Etudes c moll Op.10-12,0.387096763,0.516129017,0.404255331,0.324999988,0.375,0.40625,0.444444448,47
90_Impromptus D 935 Op.142-3 B dur,0.769230783,0.974358976,0.496732026,0.756097555,0.775000036,0.774999976,0.784810126,41
91_Rondo D dur K.485,0.351851851,0.611111104,0.293159604,0.341880351,0.309090912,0.363636374,0.394495428,61
92_Franzosische Suiten Nr.5 G dur BWV 816 Gavotte,0.357142866,0.59523809,0.323353291,0.367816091,0.372093022,0.372093022,0.505882382,43
93_Sechs Gesange Op.34-2 Auf Flugeln des Gesanges,0.857142866,0.714285731,0.5,0.819672108,0.827586174,0.862068951,0.842105269,31
94_Csikos Post,0.625,0.9375,0.380952388,0.465116292,0.588235319,0.588235319,0.606060624,25
"95_12 Variationen uber ein franzosisches Lied 'Ah,vous dirai-je, maman' C dur K.265 K6.300e",0.866666675,1,0.55737704,0.848484874,0.875,0.875,0.90322578,16
96_Lieder ohne Worte Heft 5 Op.62-6 Fruhlingslied,0.439999998,0.75999999,0.438095242,0.444444448,0.5,0.461538464,0.490196079,27
97_Les Patineurs Op.183,0.3125,0.0625,0.354838699,0.342857152,0.352941185,0.352941185,0.454545468,17
98_Sonate fur Klavier Nr.8 c moll Pathetique Op.13 2.Satz,0.590909064,0.409090906,0.449438214,0.595744669,0.608695686,0.608695626,0.644444466,23
99_3 Valses No.7 Op.64-2 cis moll,0.5,0.449999988,0.472222209,0.431372553,0.476190478,0.523809552,0.536585391,29
,0.573324779,0.648072154,0.429589574,0.546930105,0.575301107,0.579169046,0.605752988,39.73648649
